use,year_built,heated_sqft,site_address,municipality,owner,owner_addr1,owner_addr2,owner_citystatezip,tax_value,parcel
PVTHSPL,1977,1674744,2100 STANTONSBURG RD,GREENVILLE,PITT COUNTY MEMORIAL HOSPITAL INC,2100 STANTONSBURG RD,,GREENVILLE  NC 27835,335221379.0,29132
PUBLICHSPTL,1982,678883,999 MOYE BV,GREENVILLE,NORTH CAROLINA STATE OF,116 WEST JONES ST,,RALEIGH  NC 27611,78026773.0,31735
OFFICE,1988,365756,417 E HANRAHAN RD,,WEYERHAEUSER NR COMPANY,220 OCCIDENTAL AVE S,,SEATTLE  WA 98104,11863992.0,39057
OTHERCOUNTY,1991,339992,403 GOVERNMENT CI,,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,60176461.0,07735
PUBLICHSPTL,2005,302575,2205 W FIFTH ST,GREENVILLE,NORTH CAROLINA STATE OF,PO BOX 629,116 W JONES ST,RALEIGH  NC 27602,81489045.0,47147
HOMEFOR-AGED,1986,275664,207 HICKORY ST,GREENVILLE,CYPRESS GLEN RETIREMENT COMMUNITY,100 HICKORY ST,,GREENVILLE  NC 27858,67721331.0,57242
OFFICE,2000,253726,1240 SUGG PW,,CATALENT GREENVILLE INC,1240 SUGG PARKWAY,,GREENVILLE  NC 27834,43237250.0,83188
PUBLICSCHL,1977,251265,600 W ARLINGTON BV,GREENVILLE,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,19516190.0,34282
PUBLICSCHL,2002,251145,570 FORLINES RD,GREENVILLE,PITT COUNTY BOARD OF EDUCATION THE,1717 W FTH ST,,GREENVILLE  NC 27834,35967670.0,91271
PUBLICCLG,1986,225362,1986 . PITT TECH RD,WINTERVILLE,PITT COMMUNITY COLLEGE,P O DRAWER 7007,,GREENVILLE  NC 27835,36589009.0,39984
PUBLICCLG,1996,152055,0 COTANCHE ST,GREENVILLE,EAST CAROLINA UNIVERSITY,901 E FIFTH ST,,GREENVILLE  NC 27834,21989622.0,37962
MEDBLDG,2001,142831,1850 W ARLINGTON BV,GREENVILLE,WINTER VILLAGE MEDICAL PROPERTIES LLC,1850 W ARLINGTON BLVD,,GREENVILLE  NC 27834,24589515.0,05181
PUBLICSCHL,2005,117336,2995 MILLS RD,,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,17756821.0,68791
PUBLICSCHL,1998,98836,4710 COUNTY HOME RD,GREENVILLE,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,12498062.0,58131
