name,address,city,zip,phone,type,hood_hits,repeat,last_inspection,inspector_note
SINO WOK,5959-1108 TRIANGLE TOWN BLV ,RALEIGH,27616,(919) 792-2499,2 - Food Stands,4,True,2026-05-08,ve.  6-501.12; Core - (REPEAT) Observed soiled vent hood filters; ceiling vents; tiles and light shields. Flooring w
TACO BELL #32555,8470 LOUISBURG RD ,RALEIGH,27616,(919) 703-0259,1 - Restaurant,4,True,2026-07-27, or with accumulated water. Ventilation hood and filters had grease/soil build-up. Physical facilities shall be kept clean. Increase clean
HIBACHI K EXPRESS,4001 WIDE WATERS SUITE B PKY ,KNIGHTDALE,27545,(919) 217-8875,1 - Restaurant,4,True,2026-07-30,orners; floor drains; drain pipes; vent hood filters; and walls under and around equipment/sinks. Ceiling tiles
CHINA HOUSE,7063 KNIGHTDALE BLVD,KNIGHTDALE,27545,(919) 217-4484,1 - Restaurant,4,True,2026-08-04,alls; floors; floor drains; ventilation hood with filters and light shields; bathroom door sides/edges; door frames 
CHILI'S GRILL AND BAR #1183,6605 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 261-0167,1 - Restaurant,4,False,2025-12-18,4-601.11(B) and (C); Core; Very minor cleaning is needed on the hoods and the chicken hot hold station.- Equipment nonfood conta
ASIA POT,3215 AVENT FERRY RD ,RALEIGH,27606-2720,(919) 233-8776,1 - Restaurant,4,False,2026-02-09,4-601.11(B) and (C); Core; Cleaning needed on hood ventilation system. Cleaning needed on exterior and interio
KASHIN RESTAURANT,309 CROSSROADS BLVD ,CARY,27511-6894,(919) 851-7101,1 - Restaurant,4,False,2026-03-24,ling panels and surfaces outside of the hood are soiled. Portion of the exterior of the hood is peeling (likely o
ORIENTAL PHO,5959 TRIANGLE TOWN BLVD,RALEIGH,27616,(919) 449-0807,2 - Food Stands,4,False,2026-04-27,g was taking place underneath; all vent hood filters were missing (being washed at 3-compartment sink)...The ve
CHINA WOK,2720 LAKE WHEELER RD ,RALEIGH,27603,(919) 821-3038,1 - Restaurant,4,False,2026-05-21,preclude accumulation of soil residues. Cleaning needed on grease accumulation at catch basin of hood ventilation system.
OLE TIME BARBECUE,6309 HILLSBOROUGH ST ,RALEIGH,27606-1148,(919) 859-2544,1 - Restaurant,4,False,2026-06-22,4-601.11(B) and (C); Core; Grease build-up on hood ventilation system above fryer station. Nonfood-contact sur
MECCA MARKET,3913 WESTERN BLVD ,RALEIGH,27606,(919) 613-1286,1 - Restaurant,4,False,2026-06-25,4-601.11(B) and (C); Core; Heavy residue build-up on hood-ventilation system. Debris observed on walls and gaskets in
