use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
HOSPITAL,1978,1801169.0,2810 BLUE RIDGE RD,RALEIGH,27607,REX HOSPITAL INC ,4420 LAKE BOONE TRL,RALEIGH NC 27607-7505,,362973268,0785822820
HR OFFC,1981,1597789.0,501 N SALISBURY ST,RALEIGH,27604,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,438974266,1704711025
LABRATRY,1987,1118017.0,0 CENTENNIAL PKWY,RALEIGH,27606,BOARD OF TRUSTEES OF THE ENDOWNMENT FUND OF NC STATE UNIVERSITY,PO BOX 7001,RALEIGH NC 27601,,502186527,0793520711
HOSPITAL,1977,1085654.0,3400 WAKE FOREST RD,RALEIGH,27609,DUKE UNIVERSITY ,CORP TAX DEPT,2200 W MAIN ST STE 300,DURHAM NC 27705-4677,196087489,1715360687
HOSPITAL,1975,982239.0,1200 LAKE WHEELER RD,RALEIGH,27603,RALEIGH CITY OF ,222 W HARGETT ST,RALEIGH NC 27601-1316,,164590028,1703241889
OFC GROSS,1996,896802.0,5000 DAVIS DR,,27560,BIOGEN (RTP) REALTY LLC ,ATTN ERIC TISCH,PO BOX 14627,RTP NC 27709-4627,193351069,0736980221
HR OFFC,2004,765252.0,100 E DAVIE ST,RALEIGH,27601,JPMORGAN TRUST CO NTL ASSOC TRUSTEE ,PENNY DEVELLE CXIG/PROGRESS ENERGY,PO BOX 14042,ST PETERSBURG FL 33733-4042,114018687,1703774295
HR OFFC,1990,654148.0,150 FAYETTEVILLE ST,RALEIGH,27601,HRLP FAYETTEVILLE LP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,123170526,1703688565
HOSPITAL,1990,633930.0,1900 KILDAIRE FARM RD,CARY,27518,WAKEMED ,CORPORATE ACCOUNTING,3000 NEW BERN AVE,RALEIGH NC 27610-1231,147425222,0762448334
OFC GROSS,2001,627566.0,7301 KIT CREEK RD,,27560,NETWORK APPLIANCE INC ,3060 OLSEN DR,SAN JOSE CA 95128-2155,,95487146,0736379134
OFC GROSS,2001,624324.0,7200 KIT CREEK RD,,27560,CISCO SYSTEMS INC ,PROPERTY TAX ALLIANCE,PO BOX 311746,NEW BRAUNFELS TX 78131-1746,99781337,0736581509
SCHOOL,1982,613087.0,1060 WILLIAM MOORE DR,RALEIGH,27607,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,1321 MAIL SERVICE CTR,RALEIGH NC 27699-1321,274041077,0784858345
SCHOOL,1992,600334.0,8410 PRIDE WAY,RALEIGH,27613,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,113837382,0787385693
OFC GROSS,1999,597624.0,7100 KIT CREEK RD,,27560,CISCO SYSTEMS INC ,PROPERTY TAX ALLIANCE,PO BOX 311746,NEW BRAUNFELS TX 78131-1746,93926265,0736679298
HR OFFC,1992,554316.0,500 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,90581620,0775147941
SCHOOL,2005,553292.0,5329 CASS HOLT RD,HOLLY SPRINGS,27540,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,126312637,0648449088
HR OFFC,1997,513738.0,6400 WESTON PKWY,CARY,27513,MCI WORLDCOM NETWORK SERVICES INC ,ATTN: TAX DEPT,1133 19TH ST NW,WASHINGTON DC 20036-3607,73841356,0765274411
SCHOOL,1999,497619.0,2300 WAKEFIELD PINES DR,RALEIGH,27614,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,129171710,1729791694
